Country,Dish,Ingredients,Quantities,Facets,Description
Cameroon,Poulet DG,Chicken; Plantains; Bell peppers; Carrots; Onion; Celery; Garlic; Ginger; Tomato paste; Oil,1kg; 3; 2; 2; 1; 1; 3 cloves; 1 tbsp; 1 tbsp; 100ml,MAIN; POULTRY,Cameroon's celebratory chicken dish of fried chicken in a rich tomato and plantain sauce.
Canada,Poutine,Potatoes; Cheese curds; Beef stock; Flour; Butter; Black pepper; Salt; Oil for frying,1kg; 200g; 500ml; 2 tbsp; 2 tbsp; 1/2 tsp; 1 tsp; 1L,BEEF; MAIN,Canada's iconic comfort food of crispy fries smothered in brown gravy and cheese curds.
Canada,Tourtière,Ground pork; Ground beef; Pie crust; Potato; Onion; Cinnamon; Cloves; Allspice; Garlic; Salt,500g; 250g; 2; 1; 1; 1/2 tsp; 1/4 tsp; 1/4 tsp; 2 cloves; 1 tsp,BEEF; MAIN; PORK,A traditional Quebec meat pie of pork and beef seasoned with allspice and cloves.
Canada,Split Pea Soup,Yellow split peas; Ham hock; Onion; Carrots; Celery; Thyme; Bay leaf; Savory; Black pepper; Water,500g; 1; 1; 2; 1; 1 tsp; 1; 1/2 tsp; 1/2 tsp; 2L,MAIN; PORK; SOUPS,"A thick, warming Canadian soup of yellow split peas with smoked ham."
Cape Verde,Cachupa,Dry corn; Beans; Pork ribs; Chorizo; Cassava; Sweet potato; Cabbage; Onion; Garlic; Bay leaf,500g; 200g; 200g; 1; 200g; 200g; 200g; 1; 3 cloves; 1,MAIN; PORK,"Cape Verde's national stew of dried corn, beans and meat or fish, slow-cooked for hours."
Cape Verde,Pastel com diabo dentro,Tuna; Flour; Boiled potato; Onion; Chili pepper; Garlic; Parsley; Salt; Oil,200g; 250g; 100g; 1; 1; 2 cloves; 1 tbsp; 1 tsp; for frying,BREADS; LEAN_FISH; MAIN,A Cape Verdean fried pastry with a spiced tuna and onion filling.
Cape Verde,Modje de Sao Nicolau,Goat meat; Potatoes; Yam; Onion; Garlic; Tomato paste; Bay leaf; Vinegar; Salt; Black pepper,1kg; 500g; 200g; 1; 3 cloves; 1 tbsp; 1; 1 tbsp; 1 tsp; 1/2 tsp,MAIN; MEAT; SOUPS,A Cape Verdean bean and fish soup from Sao Nicolau island.
Central African Republic,Kanda,Ground beef; Pumpkin seeds; Onion; Garlic; Parsley; Chili powder; Salt; Oil,500g; 200g; 1; 2 cloves; 1 tbsp; 1/2 tsp; 1 tsp; 2 tbsp,BEEF; MAIN,A Central African Republic dish of pounded meat balls cooked in a leafy vegetable stew.
Central African Republic,Cassava leaves,Cassava leaves; Peanut butter; Smoked fish; Onion; Garlic; Palm oil; Chili pepper; Salt,500g; 200g; 200g; 1; 2 cloves; 50ml; 1; 1 tsp,LEAN_FISH; MAIN,"Pounded cassava leaves cooked with palm oil and groundnut paste, a Central African staple."
Central African Republic,Muamba de Galinha,Chicken; Palm oil; Garlic; Onion; Chili pepper; Okra; Squash; Lemon juice; Salt; Water,1kg; 100ml; 4 cloves; 1; 1; 10; 200g; 1 tbsp; 1 tsp; 500ml,MAIN; POULTRY,"Angola's signature chicken stew slow-cooked in palm butter with okra, garlic and chili."
Chad,Daraba,Okra; Sweet potato leaves; Peanut butter; Tomato; Onion; Eggplant; Chili pepper; Oil; Salt,300g; 200g; 100g; 2; 1; 1; 1; 2 tbsp; 1 tsp,MAIN; VEGETARIAN,"A Chadian stew of okra, peanut paste and vegetables eaten with sorghum porridge."
Chad,Mararkis,Meat; Dried okra powder; Onion; Garlic; Tomato paste; Cinnamon; Ginger; Oil; Salt,500g; 2 tbsp; 2; 3 cloves; 2 tbsp; 1/2 tsp; 1 tsp; 50ml; 1 tsp,MAIN; MEAT; SOUPS,A Chadian meat and vegetable stew seasoned with local spices.
Chad,Esh,Millet flour; Water; Salt,500g; 1L; 1 tsp,SIDES; VEGAN; VEGETARIAN,"A simple Chadian cornmeal or millet porridge, the foundational starch of the diet."
Chile,Empanada de Pino,Flour; Ground beef; Onion; Cumin; Paprika; Raisins; Black olives; Hard-boiled egg; Salt; Lard,500g; 500g; 3; 1 tsp; 1 tbsp; 12; 12; 2; 1 tsp; 100g,BEEF; PORK; STARTERS,"A Chilean baked pastry of ground beef, onion, olives and hard-boiled egg."
Chile,Pastel de Choclo,Corn; Ground beef; Onion; Basil; Chicken breast; Sugar; Cumin; Olives; Raisins; Salt,1kg; 500g; 2; 1/2 cup; 200g; 1 tbsp; 1 tsp; 10; 10; 1 tsp,BEEF; BREADS; MAIN; POULTRY,A Chilean savoury corn pie with a meat filling topped with a golden sweetened corn crust.
Chile,Cazuela,Chicken pieces; Pumpkin; Potatoes; Corn on cob; Rice; Onion; Bell pepper; Oregano; Cumin; Cilantro,4; 200g; 4; 2; 100g; 1; 1; 1 tsp; 1/2 tsp; 2 tbsp,MAIN; POULTRY,"A light Chilean clear broth with beef or chicken, potato, pumpkin and corn on the cob."
China,Peking Duck,Whole duck; Maltose syrup; Five-spice powder; Ginger; Scallions; Hoisin sauce; Soy sauce; Shaoxing wine; Pancakes; Cucumber,2kg; 3 tbsp; 1 tsp; 20g; 4; 100ml; 2 tbsp; 1 tbsp; 12; 1,MAIN; POULTRY,"China's most celebrated dish: whole duck lacquered and roasted, served in thin pancakes."
China,Mapo Tofu,Soft tofu; Ground pork; Doubanjiang; Sichuan peppercorns; Chili oil; Garlic; Ginger; Soy sauce; Green onion; Cornstarch,500g; 100g; 2 tbsp; 1 tsp; 2 tbsp; 3 cloves; 1 tsp; 1 tbsp; 2; 1 tsp,MAIN; PORK,A Sichuan classic of silky tofu in a fiery sauce of doubanjiang and Sichuan peppercorns.
China,Dim Sum (Siu Mai),Ground pork; Shrimp; Wonton wrappers; Shiitake mushrooms; Soy sauce; Sesame oil; Ginger; White pepper; Sugar; Cornstarch,300g; 150g; 20; 4; 1 tbsp; 1 tsp; 1 tsp; 1/4 tsp; 1/2 tsp; 1 tsp,MAIN; PORK,"Open-topped steamed dumplings of pork and shrimp, a Cantonese classic."
Colombia,Bandeja Paisa,Red beans; White rice; Ground beef; Chorizo; Fried egg; Chicharrón; Avocado; Arepa; Plantain; Hogao sauce,200g; 200g; 200g; 1; 1; 100g; 1/2; 1; 1; 2 tbsp,BEEF; MAIN; PORK,"Colombia's oversized paisa platter of red beans, rice, ground beef, chicharron and plantain."
Colombia,Ajiaco,Chicken; Potatoes; Corn; Guasca leaves; Capers; Heavy cream; Avocado; Onion; Garlic; Cilantro,"500g; 3 types, 1kg; 2; 2 tbsp; 2 tbsp; 100ml; 1; 1; 3 cloves; 1 tbsp",MAIN; POULTRY,"A thick Bogota soup of three varieties of potato, chicken and guasca herb."
Colombia,Sancocho (Chicken),Chicken; Sancocho (base),150g; 1 serving,MAIN; POULTRY,"A comforting Latin American chicken soup with root vegetables, plantain and corn."
Colombia,Sancocho (Beef),Beef; Sancocho (base),150g; 1 serving,BEEF; MAIN,A hearty beef version of the Latin American sancocho stew.
Comoros,Langouste à la Vanille,Lobster; Vanilla beans; Butter; Shallots; White wine; Heavy cream; Salt; White pepper,1kg; 2; 50g; 2; 100ml; 100ml; 1 tsp; 1/2 tsp,MAIN,Grilled Comorian spiny lobster infused with the island's famed vanilla.
Comoros,M'tsolola,Fish; Green plantains; Coconut milk; Onion; Tomato; Spinach; Cloves; Salt,500g; 3; 400ml; 1; 2; 100g; 1/2 tsp; 1 tsp,MAIN,A Comorian coconut milk stew of fish with green bananas and taro.
Comoros,Pilaou,Basmati rice; Meat; Cardamom; Cloves; Cinnamon; Black peppercorns; Cumin; Ginger; Garlic; Onion,500g; 500g; 5; 5; 1 stick; 10; 1 tsp; 1 tbsp; 3 cloves; 2,MAIN; MEAT; RICE,"Comorian spiced rice cooked with meat in a blend of cloves, cardamom and cinnamon."
Congo (DRC),Poulet à la Moambe,Chicken; Palm butter; Onion; Garlic; Chili pepper; Salt; Water,1kg; 200g; 1; 3 cloves; 1; 1 tsp; 500ml,MAIN; POULTRY,"DRC's national chicken stew in palm oil with tomatoes and spices, eaten with fufu."
Congo (DRC),Fufu,Cassava flour; Green plantain flour; Water,500g; 200g; 1L,SIDES; VEGAN; VEGETARIAN,The staple starch of Central and West Africa: pounded cassava or plantain formed into soft dough balls.
Congo (DRC),Chikwangue,Cassava; Water; Banana leaves,1kg; for soaking; for wrapping,MAIN; VEGAN; VEGETARIAN,"Steamed cassava dough wrapped in banana leaves, a preserved starchy food from the DRC."
Costa Rica,Gallo Pinto,Rice; Black beans; Salsa Lizano; Onion; Bell pepper; Garlic; Cilantro; Cumin; Salt; Oil,400g; 300g; 3 tbsp; 1; 1; 2 cloves; 2 tbsp; 1/2 tsp; 1 tsp; 2 tbsp,MAIN; RICE; VEGAN; VEGETARIAN,Nicaragua's and Costa Rica's daily rice and black beans dish.
Costa Rica,Casado (Beef),Beef; Casado (base),200g; 1 serving,BEEF; GRILLED; MAIN,"Costa Rica's quintessential lunch of rice, black beans, beef, salad and fried plantain."
Costa Rica,Casado (Chicken),Chicken; Casado (base),200g; 1 serving,GRILLED; MAIN; POULTRY,The chicken version of Costa Rica's classic casado lunch plate.
Costa Rica,Chifrijo,Chicharrón; Rice; Red beans; Pico de gallo; Avocado; Lime juice; Cilantro; Cumin; Salt; Tortilla chips,200g; 200g; 200g; 100g; 1/2; 2 tbsp; 1 tbsp; 1/2 tsp; 1 tsp; 50g,MAIN; PORK,A popular Costa Rican bar snack of crispy pork rinds and beans over rice with pico de gallo.
Croatia,Peka (Lamb),Lamb; Peka (base),250g; 1 serving,GRILLED; LAMB; MAIN,Croatian slow-cooked lamb under a cast iron bell covered in embers.
Croatia,Peka (Veal),Veal cutlets; Peka (base),250g; 1 serving,BEEF; GRILLED; MAIN,Tender veal roasted with vegetables under the traditional Croatian peka bell.
Croatia,Crni Rižot,Cuttlefish; Squid ink; Arborio rice; Garlic; Onion; White wine; Fish stock; Parsley; Olive oil; Salt,500g; 1 tsp; 300g; 3 cloves; 1; 150ml; 1L; 1/4 cup; 50ml; 1 tsp,MAIN,"Croatian black risotto made with cuttlefish and their ink, briny and dramatic."
Croatia,Brudet,Mixed sea fish; Onion; Garlic; Tomato puree; White wine; Vinegar; Parsley; Bay leaf; Olive oil; Salt,1kg; 2; 4 cloves; 200ml; 100ml; 1 tbsp; 2 tbsp; 1; 50ml; 1 tsp,MAIN,A Dalmatian fish stew of mixed seafood cooked with tomatoes and white wine.
Cuba,Ropa Vieja,Flank steak; Bell pepper; Onion; Garlic; Tomato paste; Cumin; Oregano; Bay leaf; Beef stock; Olive oil,1kg; 1; 1; 4 cloves; 3 tbsp; 1 tsp; 1 tsp; 1; 250ml; 2 tbsp,BEEF; MAIN,Cuba's national dish of shredded beef in a rich tomato and pepper sauce.
Cuba,Moros y Cristianos,Black beans; White rice; Bacon; Bell pepper; Onion; Garlic; Cumin; Oregano; Bay leaf; Salt,200g; 400g; 50g; 1; 1; 3 cloves; 1 tsp; 1 tsp; 1; 1 tsp,MAIN; PORK; RICE,Cuban black beans and white rice cooked together.
Cuba,Lechon Asado,Pork shoulder; Sour orange juice; Garlic; Oregano; Cumin; Onion; Salt; Black pepper; Olive oil; Bay leaf,2kg; 500ml; 10 cloves; 2 tbsp; 1 tbsp; 1; 2 tsp; 1 tsp; 50ml; 2,GRILLED; MAIN; PORK,Cuban whole-roasted suckling pig marinated in citrus and garlic.
Cyprus,Halloumi,Halloumi cheese; Dried mint; Lemon; Olive oil,250g; 1 tsp; 1; 1 tbsp,MAIN; VEGETARIAN,Cyprus's iconic semi-hard white cheese grilled until golden.
Cyprus,Souvla (Pork),Pork; Souvla (base),200g; 1 serving,GRILLED; MAIN; PORK,"Large chunks of pork slow-roasted on a rotating spit, Cyprus's most popular dish."
Cyprus,Souvla (Lamb),Lamb; Souvla (base),200g; 1 serving,GRILLED; LAMB; MAIN,"The lamb version of Cyprus's beloved souvla, cooked slowly on a spit."
Cyprus,Kleftiko,Lamb shanks; Potatoes; Garlic; Bay leaf; Oregano; Cinnamon; Lemon juice; Olive oil; Salt; Black pepper,4; 1kg; 4 cloves; 4; 1 tbsp; 1/2 tsp; 3 tbsp; 50ml; 2 tsp; 1 tsp,LAMB; MAIN,"Cypriot lamb slow-baked in parchment with lemon, garlic and herbs."
Czech Republic,Vepřo Knedlo Zelo,Pork roast; Cabbage; Flour; Milk; Egg; Onion; Caraway seeds; Garlic; Vinegar; Salt,1kg; 500g; 300g; 200ml; 1; 2; 1 tsp; 3 cloves; 2 tbsp; 2 tsp,MAIN; PORK,"Czech Republic's hearty trinity of roast pork, bread dumplings and braised sauerkraut."
Czech Republic,Svíčková,Beef sirloin; Carrots; Parsnip; Celery root; Onion; Heavy cream; Lemon; Allspice; Thyme; Bay leaf,1kg; 2; 1; 100g; 1; 250ml; 1; 5; 1 tsp; 2,BEEF; MAIN,A Czech classic of slow-braised beef sirloin in a creamy root vegetable sauce.
Czech Republic,Guláš,Beef; Onion; Paprika; Marjoram; Garlic; Caraway seeds; Tomato paste; Beef stock; Lard; Salt,800g; 800g; 3 tbsp; 1 tsp; 3 cloves; 1/2 tsp; 1 tbsp; 500ml; 50g; 1 tsp,BEEF; MAIN; PORK,"Czech beef goulash slow-cooked with onions and paprika, served with dumplings."
Denmark,Smørrebrød,Rye bread; Butter; Pickled herring; Remoulade; Red onion; Dill; Hard-boiled egg; Capers; Salt; Pepper,4 slices; 30g; 4; 2 tbsp; 1; 2 tbsp; 1; 1 tbsp; 1/2 tsp; 1/4 tsp,FAT_FISH; MAIN,"Danish open-faced rye bread sandwiches topped with pickled herring, roast beef or shrimp."
Denmark,Stegt Flæsk,Pork belly slices; Potatoes; Flour; Milk; Butter; Parsley; Salt; Black pepper,500g; 1kg; 2 tbsp; 300ml; 30g; 1 bunch; 1 tsp; 1/2 tsp,FRIED; MAIN; PORK,Denmark's national dish of crispy fried pork belly with parsley sauce and potatoes.
Denmark,Frikadeller,Ground pork; Onion; Egg; Milk; Flour; Breadcrumbs; Salt; Black pepper; Butter; Allspice,500g; 1; 1; 50ml; 50g; 50g; 1 tsp; 1/2 tsp; 50g; 1/4 tsp,FRIED; MAIN; PORK,"Danish pan-fried pork and veal meatballs, a household staple."
Djibouti,Skoudehkaris,Basmati rice; Lamb; Tomato puree; Cardamom; Cinnamon; Cloves; Cumin; Onion; Garlic; Cilantro,500g; 500g; 200ml; 5; 1 stick; 3; 1 tsp; 2; 3 cloves; 1/4 cup,LAMB; MAIN,Djibouti's spiced lamb and rice dish influenced by Yemeni and Somali culinary traditions.
Djibouti,Fah-fah (Beef),Beef; Fah-fah (base),200g; 1 serving,BEEF; MAIN,A Djiboutian beef and vegetable broth flavoured with cumin and chili.
Djibouti,Fah-fah (Goat),Goat meat; Fah-fah (base),200g; 1 serving,MAIN; MEAT; SOUPS,"A Djiboutian goat version of the fah-fah broth, a staple of nomadic kitchens."
Djibouti,Laxoox,Sorghum flour; Wheat flour; Yeast; Water; Salt; Ghee,300g; 200g; 1 tsp; 700ml; 1/2 tsp; for serving,BREADS; SIDES; VEGETARIAN,"Djibouti's spongy fermented flatbread eaten with honey, butter or stew."
Dominica,Callaloo Soup (Crab),Crab; Callaloo Soup (base),200g; 1 serving,MAIN; SOUPS,"A Caribbean callaloo soup enriched with crab, dasheen leaves and coconut milk."
Dominica,Callaloo Soup (Shrimp),Shrimp; Callaloo Soup (base),200g; 1 serving,MAIN; SOUPS,"A Caribbean callaloo soup with shrimp, dasheen leaves and coconut milk."
Dominica,Mountain Chicken,Frog legs; Lime juice; Flour; Garlic; Thyme; Black pepper; Salt; Oil,8; 3 tbsp; 100g; 3 cloves; 1 tsp; 1/2 tsp; 1 tsp; for frying,MAIN; WHITE_MEAT,A Dominica delicacy of giant frog legs battered and fried or stewed.
Dominica,Sancoche,Fish; Coconut milk; Yam; Pumpkin; Plantain; Turmeric; Onion; Garlic; Thyme; Chives,500g; 400ml; 200g; 200g; 1; 1 tsp; 1; 3 cloves; 1 tsp; 2 tbsp,MAIN,"A Dominica one-pot soup of root vegetables, plantain and salted meat."
Dominican Republic,La Bandera (Beef),Beef; La Bandera (base),150g; 1 serving,BEEF; MAIN,"The Dominican Republic's national lunch of white rice, red beans and stewed beef."
Dominican Republic,La Bandera (Chicken),Chicken; La Bandera (base),150g; 1 serving,MAIN; POULTRY,The chicken version of the Dominican national lunch plate.
Dominican Republic,Mangú,Green plantains; Red onion; Vinegar; Butter; Salt; Water,4; 1; 2 tbsp; 30g; 1 tsp; for boiling,MAIN; VEGETARIAN,"Mashed boiled plantains topped with sautéed onions, a classic Dominican breakfast."
Dominican Republic,Sancocho,Beef; Pork; Chicken; Pumpkin; Plantain; Cassava; Corn; Garlic; Cilantro; Oregano,200g; 200g; 200g; 200g; 2; 200g; 2; 4 cloves; 1/4 cup; 1 tsp,BEEF; MAIN; PORK; POULTRY,"A hearty Caribbean stew of multiple meats, root vegetables and herbs."
Ecuador,Cuy Chactado,Guinea pig; Garlic; Cumin; Salt; Flour; Oil; Aji pepper; Lemon,1; 4 cloves; 1 tsp; 1 tsp; 50g; 500ml; 1; 1,MAIN,"Ecuadorian pan-fried guinea pig, a protein-rich Andean delicacy."
Ecuador,Ceviche de Camaron,Shrimp; Lime juice; Orange juice; Tomato sauce; Red onion; Cilantro; Salt; Mustard; Oil; Popcorn/Chulpi,500g; 200ml; 100ml; 100ml; 1; 1/2 cup; 1 tsp; 1 tsp; 1 tbsp; for serving,MAIN,"Ecuadorian shrimp ceviche marinated in lime juice with tomato, onion and cilantro."
Ecuador,Encebollado,Albacore tuna; Cassava; Red onion; Tomatoes; Cilantro; Cumin; Chili powder; Salt; Lime; Water,500g; 500g; 2; 2; 1/2 cup; 1 tsp; 1 tsp; 1 tsp; 2; 2L,LEAN_FISH; MAIN,"Ecuador's favourite fish soup of albacore tuna with yuca, tomatoes and pickled onions."
Egypt,Kushari,Rice; Lentils; Macaroni; Chickpeas; Tomato sauce; Vinegar; Garlic; Cumin; Fried onions; Chili flakes,200g; 200g; 200g; 100g; 200ml; 2 tbsp; 4 cloves; 1 tsp; 100g; 1/2 tsp,MAIN; VEGAN; VEGETARIAN,"Egypt's beloved street food of mixed lentils, rice, macaroni and chickpeas in tomato sauce."
Egypt,Ful Medames,Fava beans; Olive oil; Lemon juice; Garlic; Cumin; Parsley; Salt; Tahini,500g; 50ml; 3 tbsp; 3 cloves; 1 tsp; 2 tbsp; 1 tsp; 2 tbsp,MAIN; VEGAN; VEGETARIAN,"Slow-cooked fava beans seasoned with garlic, lemon and cumin, Egypt's ancient breakfast."
Egypt,Molokhia,Molokhia leaves; Chicken broth; Garlic; Dried coriander; Butter; Salt; Black pepper,500g; 1L; 6 cloves; 1 tbsp; 30g; 1 tsp; 1/4 tsp,MAIN; POULTRY; SOUPS,"A thick green soup of jute leaves with garlic and coriander, eaten with chicken over rice."
El Salvador,Pupusas,Masa harina; Water; Refried beans; Mozzarella cheese; Chicharrón; Salt,500g; 400ml; 200g; 200g; 100g; 1 tsp,BREADS; MAIN; MEAT,"El Salvador's national dish: thick handmade corn flour tortillas stuffed with cheese, beans or pork."
El Salvador,Yuca con Chicharrón,Cassava/Yuca; Pork belly; Cabbage; Vinegar; Oregano; Salt; Tomato sauce; Garlic,1kg; 500g; 200g; 50ml; 1 tsp; 1 tsp; 100ml; 2 cloves,MAIN; PORK,Boiled cassava with crispy fried pork rinds and pickled cabbage.
El Salvador,Pane con Pavo,Turkey; French bread; Tomato; Cucumber; Radish; Watercress; Onion; Garlic; Cumin; Chili powder,1kg; 4; 4; 1; 4; 1 bunch; 1; 3 cloves; 1/2 tsp; 1/2 tsp,MAIN; POULTRY,A Salvadoran Christmas tradition: turkey in a tomato-chili sauce served in a bread roll.
Equatorial Guinea,Pepe Soup (Fish),Fish; Pepe Soup (base),200g; 1 serving,MAIN; SOUPS,Equatorial Guinean spiced fish soup with njansang seeds and chili.
Equatorial Guinea,Pepe Soup (Meat),Meat; Pepe Soup (base),200g; 1 serving,MAIN; MEAT; SOUPS,A spiced meat pepper soup from Equatorial Guinea with njansang and chili.
Equatorial Guinea,Succotash,Corn; Lima beans; Butter; Heavy cream; Salt; Black pepper,250g; 250g; 30g; 50ml; 1 tsp; 1/2 tsp,MAIN; VEGETARIAN,A simple dish of corn and beans popular in Equatorial Guinea.
Equatorial Guinea,Chicken with Peanut Sauce,Chicken; Peanut butter; Tomato paste; Onion; Garlic; Chili pepper; Oil; Salt,1kg; 200g; 2 tbsp; 1; 3 cloves; 1; 3 tbsp; 1 tsp,MAIN; POULTRY,"Grilled chicken smothered in a rich groundnut sauce, popular across Equatorial Guinea."
Eritrea,Zigni (Beef),Beef; Zigni (base),200g; 1 serving,BEEF; MAIN,"Eritrean spiced beef stew in berbere and niter kibbeh, served on injera."
Eritrea,Zigni (Lamb),Lamb; Zigni (base),200g; 1 serving,LAMB; MAIN,Eritrean lamb stew with berbere spice and clarified spiced butter.
Eritrea,Injera,Teff flour; Water; Salt,500g; 700ml; 1/2 tsp,BREADS; SIDES; VEGAN; VEGETARIAN,"Eritrea and Ethiopia's spongy fermented teff flatbread, used as both plate and utensil."
Eritrea,Kitcha Fit-fit,Kitcha flatbread; Niter Kibbeh/Butter; Berbere spice; Plain yogurt,2; 50g; 2 tbsp; 100g,BREADS; MAIN; VEGETARIAN,Torn Eritrean kitcha flatbread mixed with spiced clarified butter and berbere.
Estonia,Mulgipuder,Potatoes; Barley groats; Bacon; Onion; Butter; Milk; Salt,1kg; 150g; 200g; 2; 50g; 100ml; 1 tsp,MAIN; PORK,An Estonian pearl barley and potato porridge with bacon and sour cream.
Estonia,Verivorst,Barley; Pork blood; Pork belly; Onion; Marjoram; Allspice; Salt; Sausage casing,200g; 500ml; 200g; 1; 1 tsp; 1/2 tsp; 1 tsp;,MAIN; PORK,"Estonian blood sausage made with barley, traditionally served at Christmas."
Estonia,Rosolje,Herring; Beetroot; Potatoes; Pickles; Apple; Sour cream; Mustard; Dill; Salt; Hard-boiled egg,200g; 300g; 300g; 2; 1; 150g; 1 tsp; 1 tbsp; 1/2 tsp; 2,FAT_FISH; MAIN,"A classic Estonian cold salad of beets, herring, potatoes and apple in sour cream."
Eswatini,Sishwala,Maize meal; Dried beans; Salt; Water,500g; 200g; 1 tsp; 1L,SIDES; VEGAN; VEGETARIAN,Eswatini's staple maize porridge served alongside meat stews.
Eswatini,Incwancwa,Sorghum meal; Water; Salt,500g; 1L; 1 tsp,DESSERTS; VEGAN; VEGETARIAN,A traditional Eswatini fermented sour porridge made from maize.
Eswatini,Umcombotsi,Sorghum; Maize meal; Sugar; Yeast; Water,1kg; 1kg; 200g; 10g; 5L,DESSERTS; VEGAN; VEGETARIAN,"A traditional Swazi fermented sorghum or maize drink, also consumed as a porridge."
Ethiopia,Doro Wat,Chicken drumsticks; Berbere spice; Niter Kibbeh; Onion; Hard-boiled eggs; Garlic; Ginger; Lemon juice; Salt,1kg; 5 tbsp; 100g; 1kg; 6; 4 cloves; 1 tbsp; 2 tbsp; 1 tsp,MAIN; POULTRY; SOUPS,Ethiopia's iconic slow-cooked chicken stew in a deeply spiced berbere sauce.
Ethiopia,Kitfo,Lean ground beef; Mitmita spice; Niter Kibbeh; Salt,500g; 2 tbsp; 100g; 1/2 tsp,BEEF; MAIN,Ethiopian minced raw beef seasoned with mitmita spice and niter kibbeh.
Ethiopia,Beyaynetu,Injera; Red lentil stew; Yellow pea stew; Shiro/Chickpea stew; Collard greens; Cabbage; Beetroot salad; Garlic; Ginger; Berbere,4; 200g; 200g; 200g; 200g; 200g; 100g; 4 cloves; 1 tbsp; 2 tbsp,MAIN; VEGAN; VEGETARIAN,Ethiopia's vegetarian fasting platter of multiple lentil and vegetable stews on injera.
Fiji,Kokoda,White fish; Lime juice; Coconut cream; Red onion; Chili pepper; Tomato; Cucumber; Cilantro; Salt,500g; 200ml; 250ml; 1; 2; 1; 1; 2 tbsp; 1 tsp,LEAN_FISH; STARTERS,Fijian raw fish marinated in lime juice and coconut milk with tomatoes and onion.
Fiji,Lovo (Pork),Pork; Lovo (base),200g; 1 serving,GRILLED; MAIN; PORK,Fijian pork slow-cooked in a traditional earth oven at communal feasts.
Fiji,Lovo (Chicken),Chicken; Lovo (base),200g; 1 serving,GRILLED; MAIN; POULTRY,Fijian chicken cooked in a lovo underground oven with root vegetables and coconut milk.
Fiji,Cassava chips,Cassava; Salt; Oil for frying,1kg; 1 tsp; 1L,SIDES; VEGAN; VEGETARIAN,"Fiji's popular crispy fried cassava slices, a widely enjoyed snack."
Finland,Karjalanpiirakka,Rye flour; Wheat flour; Rice; Milk; Butter; Eggs; Salt,250g; 50g; 200g; 1L; 100g; 4; 1.5 tsp,BREADS; MAIN; VEGETARIAN,"Finnish Karelian pasties of thin rye pastry filled with rice porridge, topped with egg butter."
Finland,Poronkäristys,Reindeer meat; Butter; Beer; Onion; Salt; Black pepper; Lingonberry jam; Mashed potatoes,1kg; 100g; 200ml; 1; 1 tsp; 1/2 tsp; 100g; 500g,MAIN; MEAT,"Sautéed Finnish reindeer with mashed potatoes and lingonberry jam, Lapland's signature dish."
Finland,Kalakukko,Rye flour; Small fish/Vendace; Pork fat; Butter; Salt; Water,500g; 1kg; 200g; 100g; 2 tsp; 300ml,MAIN; PORK,"A Finnish bread loaf baked around fish and pork, a Savo regional speciality."
France,Coq au Vin,Chicken; Red wine; Bacon lardons; Mushrooms; Pearl onions; Garlic; Thyme; Bay leaf; Butter; Flour,1.5kg; 750ml; 150g; 200g; 10; 3 cloves; 2 sprigs; 1; 50g; 2 tbsp,MAIN; PORK; POULTRY,French chicken slow-braised in red wine with mushrooms and pearl onions.
France,Boeuf Bourguignon,Beef chuck; Red wine; Carrots; Onion; Garlic; Thyme; Bay leaf; Butter; Mushrooms; Bacon,1kg; 750ml; 2; 1; 3 cloves; 2 sprigs; 1; 50g; 200g; 100g,BEEF; MAIN; PORK,"Beef slowly braised in Burgundy red wine with carrots, pearl onions and mushrooms."
France,Ratatouille,Eggplant; Zucchini; Bell peppers; Tomatoes; Onion; Garlic; Herbes de Provence; Olive oil; Salt; Black pepper,1; 2; 2; 3; 1; 4 cloves; 1 tbsp; 50ml; 1 tsp; 1/2 tsp,MAIN; VEGAN; VEGETARIAN,"A Provençal summer vegetable stew of courgettes, aubergines, peppers and tomatoes."
Gabon,Nyembwe Chicken,Chicken; Palm nut butter; Garlic; Onion; Chili pepper; Salt; Water,1kg; 200g; 3 cloves; 1; 1; 1 tsp; 500ml,MAIN; POULTRY,Gabonese chicken simmered in a sauce made from palm nuts.
Gabon,Manioc,Cassava roots; Water,1kg; for soaking,MAIN; VEGAN; VEGETARIAN,"Boiled or fried cassava root, the fundamental starch of Gabonese and Central African cuisine."
Gabon,Grilled Fish,Whole snapper; Garlic; Ginger; Lemon; Chili powder; Oil; Salt; Parsley,1kg; 3 cloves; 1 tsp; 1; 1/2 tsp; 2 tbsp; 1 tsp; 1 tbsp,GRILLED; LEAN_FISH; MAIN,"Fresh whole fish seasoned with spices and grilled over charcoal, a West African staple."
Gambia,Domoda (Beef),Beef; Domoda (base),150g; 1 serving,BEEF; MAIN,Gambian groundnut stew with beef in a rich peanut and tomato sauce.
Gambia,Domoda (Chicken),Chicken; Domoda (base),150g; 1 serving,MAIN; POULTRY,The chicken version of Gambia's national peanut stew.
Gambia,Benachin (Chicken),Chicken; Benachin (base),150g; 1 serving,MAIN; POULTRY,Gambia's one-pot rice dish cooked in tomato broth with chicken and vegetables.
Gambia,Benachin (Fish),Fish; Benachin (base),150g; 1 serving,MAIN,The fish version of Gambia's beloved benachin rice dish.
